doing|do
having|have
being|be
arising|arise
coming|come
lying|lie
swimming|swim
shrinking|shrink
singing|sing
withdrawing|withdraw
sinking|sink
sinking|sink
forgiving|forgive
bidding|bid
hurting|hurt
thrusting|thrust
broadcasting|broadcast
rising|rise
falling|fall
splitting|split
spreading|spread
fitting|fit
shutting|shut
casting|cast
eating|eat
breaking|break
flying|fly
driving|drive
waking|wake
beating|beat
riding|ride
ringing|ring
hiding|hide
striking|strike
striking|strike
freezing|freeze
drawing|draw
springing|spring
running|run
hitting|hit
misreading|misread
shedding|shed
ridding|rid
overcoming|overcome
offsetting|offset
overrunning|overrun
upsetting|upset
undercutting|undercut
forsaking|forsake
overriding|override
overtaking|overtake
rewriting|rewrite
undoing|undo
besetting|beset
mistaking|mistake
underwriting|underwrite
biting|bite
throwing|throw
stealing|steal
shaking|shake
wearing|wear
blowing|blow
tearing|tear
cutting|cut
raising|raise
lowering|lower
consenting|consent
hesitating|hesitate
proceeding|proceed
aspiring|aspire
purporting|purport
endeavouring|endeavour
condescending|condescend
deigning|deign
happening|happen
wishing|wish
hoping|hope
agreeing|agree
pretending|pretend
swearing|swear
praying|pray
vowing|vow
voting|vote
appearing|appear
seeming|seem
caring|care
asserting|assert
contending|contend
remarking|remark
retorting|retort
intimating|intimate
exclaiming|exclaim
conjecturing|conjecture
alleging|allege
surmising|surmise
opining|opine
insinuating|insinuate
supposing|suppose
theorizing|theorize
attesting|attest
fantasizing|fantasize
musing|muse
speculating|speculate
concurring|concur
replying|reply
shouting|shout
whispering|whisper
arguing|argue
sighing|sigh
muttering|mutter
testifying|testify
commenting|comment
responding|respond
hinting|hint
reasoning|reason
bragging|brag
dreaming|dream
complaining|complain
thinking|think
mattering|matter
sufficing|suffice
insisting|insist
wondering|wonder
inquiring|inquire
going|go
staying|stay
acting|act
sounding|sound
looking|look
repenting|repent
disapproving|disapprove
talking|talk
consisting|consist
dying|die
lasting|last
waiting|wait
attempting|attempt
undertaking|undertake
deserving|deserve
managing|manage
plotting|plot
preferring|prefer
neglecting|neglect
affording|afford
committing|commit
professing|profess
desiring|desire
seeking|seek
declining|decline
failing|fail
hastening|hasten
volunteering|volunteer
aiming|aim
fighting|fight
threatening|threaten
meaning|mean
arranging|arrange
resolving|resolve
pledging|pledge
planning|plan
confessing|confess
deciding|decide
remembering|remember
forgetting|forget
learning|learn
proposing|propose
demanding|demand
begging|beg
pleading|plead
bearing|bear
loving|love
disliking|dislike
hating|hate
beginning|begin
continuing|continue
ceasing|cease
starting|start
stopping|stop
trying|try
recognizing|recognize
disputing|dispute
accepting|accept
calculating|calculate
recording|record
deducing|deduce
envisioning|envision
recounting|recount
signifying|signify
clarifying|clarify
disclosing|disclose
recollecting|recollect
adducing|adduce
positing|posit
reiterating|reiterate
inferring|infer
presupposing|presuppose
repeating|repeat
reflecting|reflect
countering|counter
signaling|signal
signalling|signal
providing|provide
doubting|doubt
reaffirming|reaffirm
sensing|sense
reckoning|reckon
regretting|regret
proclaiming|proclaim
ascertaining|ascertain
discerning|discern
stipulating|stipulate
affirming|affirm
certifying|certify
trusting|trust
postulating|postulate
ensuring|ensure
implying|imply
verifying|verify
boasting|boast
declaring|declare
imagining|imagine
fearing|fear
concluding|conclude
suspecting|suspect
conceding|concede
presuming|presume
emphasizing|emphasize
maintaining|maintain
acknowledging|acknowledge
noting|note
confirming|confirm
stressing|stress
assuming|assume
foreseeing|foresee
believing|believe
answering|answer
worrying|worry
protesting|protest
ruling|rule
adding|add
figuring|figure
predicting|predict
realizing|realize
discovering|discover
determining|determine
announcing|announce
saying|say
mentioning|mention
admitting|admit
recalling|recall
revealing|reveal
stating|state
observing|observe
indicating|indicate
guessing|guess
estimating|estimate
understanding|understand
noticing|notice
explaining|explain
demonstrating|demonstrate
knowing|know
requesting|request
feeling|feel
minding|mind
studying|study
discussing|discuss
opposing|oppose
enjoying|enjoy
advocating|advocate
contemplating|contemplate
entailing|entail
necessitating|necessitate
justifying|justify
risking|risk
avoiding|avoid
involving|involve
anticipating|anticipate
favoring|favor
finishing|finish
practicing|practice
resisting|resist
quitting|quit
turning|turn
becoming|become
remaining|remain
growing|grow
approving|approve
disposing|dispose
conceiving|conceive
speaking|speak
tasting|taste
smelling|smell
taking|take
putting|put
costing|cost
finding|find
getting|get
leaving|leave
keeping|keep
pacing|pace
watching|watch
tracking|track
setting|set
loosing|loose
freeing|free
holding|hold
hostaging|hostage
expecting|expect
claiming|claim
intending|intend
daring|dare
liking|like
offering|offer
refusing|refuse
wanting|want
needing|need
choosing|choose
preparing|prepare
pressing|press
requiring|require
commanding|command
ordering|order
urging|urge
considering|consider
perceiving|perceive
reporting|report
cautioning|caution
warning|warn
advising|advise
hearing|hear
seeing|see
owing|owe
delivering|deliver
according|accord
awarding|award
terming|term
granting|grant
begrudging|begrudge
assigning|assign
renaming|rename
repaying|repay
dubbing|dub
entitling|entitle
fining|fine
giving|give
sending|send
buying|buy
bringing|bring
lending|lend
issuing|issue
handing|hand
passing|pass
paying|pay
selling|sell
dealing|deal
calling|call
reading|read
writing|write
charging|charge
allowing|allow
promising|promise
showing|show
teaching|teach
compelling|compel
forcing|force
designing|design
permitting|permit
authorizing|authorize
causing|cause
enabling|enable
pressuring|pressure
training|train
sentencing|sentence
prompting|prompt
spurring|spur
inviting|invite
reelecting|reelect
encouraging|encourage
drafting|draft
hiring|hire
enticing|entice
inspiring|inspire
aiding|aid
forbidding|forbid
employing|employ
educating|educate
tempting|tempt
condemning|condemn
commissioning|commission
counseling|counsel
inducing|induce
instructing|instruct
licensing|license
inciting|incite
nominating|nominate
destining|destine
provoking|provoke
challenging|challenge
exhorting|exhort
imploring|implore
motivating|motivate
impelling|impel
using|use
electing|elect
appointing|appoint
naming|name
programming|program
obliging|oblige
convincing|convince
persuading|persuade
telling|tell
asking|ask
helping|help
reminding|remind
informing|inform
reassuring|reassure
alerting|alert
guaranteeing|guarantee
notifying|notify
forewarning|forewarn
assuring|assure
letting|let
watching|watch
appreciating|appreciate
spending|spend
making|make
rendering|render
deeming|deem
depriving|deprive
accusing|accuse
acquitting|acquit
purging|purge
disabusing|disabuse
exonerating|exonerate
absolving|absolve
robbing|rob
convicting|convict
clearing|clear
betting|bet
bothering|bother
surprising|surprise
alarming|alarm
amazing|amaze
amusing|amuse
astonishing|astonish
astounding|astound
exciting|excite
depressing|depress
disgusting|disgust
distressing|distress
dismaying|dismay
irritating|irritate
embarrassing|embarrass
annoying|annoy
proving|prove
suggesting|suggest
recommending|recommend
denying|deny
describing|describe
portraying|portray
depicting|depict
regarding|regard
viewing|view
characterizing|characterize
reading|read
writing|write
seeming|seem
appearing|appear
saying|say
telling|tell
asking|ask
saying|say
voting|vote
doubling|double
tripling|triple
quadrupling|quadruple
quintupling|quintuple
abating|abate
abounding|abound
about-facing|about-face
absconding|abscond
abstaining|abstain
acceding|accede
accounting|account
accruing|accrue
aching|ache
acquiescing|acquiesce
ad-libbing|ad-lib
adhering|adhere
adjoining|adjoin
alighting|alight
alluding|allude
allying|ally
amounting|amount
apologizing|apologize
appertaining|appertain
aquaplaning|aquaplane
arising|arise
arriving|arrive
assenting|assent
atoning|atone
atrophying|atrophy
baaing|baa
babbling|babble
babysitting|babysit
backfiring|backfire
backpedalling|backpedal
backsliding|backslide
backspacing|backspace
balking|balk
ballooning|balloon
banqueting|banquet
bantering|banter
barking|bark
barnstorming|barnstorm
basking|bask
bawling|bawl
baying|bay
beetling|beetle
behaving|behave
belching|belch
bellyaching|bellyache
belonging|belong
bickering|bicker
bicycling|bicycle
billowing|billow
blabbering|blabber
blathering|blather
blazing|blaze
bleating|bleat
bleeding|bleed
bleeping|bleep
blooming|bloom
blossoming|blossom
blubbering|blubber
blundering|blunder
blushing|blush
boding|bode
booming|boom
braking|brake
brawling|brawl
braying|bray
bristling|bristle
brooding|brood
browsing|browse
bubbling|bubble
budding|bud
bullshitting|bullshit
bunking|bunk
burbling|burble
burgeoning|burgeon
burping|burp
bustling|bustle
cackling|cackle
campaigning|campaign
canoeing|canoe
cantering|canter
capering|caper
capitulating|capitulate
careening|careen
carolling|carol
carousing|carouse
cascading|cascade
castling|castle
catering|cater
caterwauling|caterwaul
cavilling|cavil
cavorting|cavort
chafing|chafe
chattering|chatter
cheeping|cheep
chirping|chirp
chirruping|chirrup
chortling|chortle
chuckling|chuckle
chugging|chug
chumming|chum
clacking|clack
clambering|clamber
clamoring|clamor
clamouring|clamour
clanking|clank
clashing|clash
clattering|clatter
clerking|clerk
climaxing|climax
clinging|cling
clucking|cluck
clunking|clunk
clustering|cluster
co-operating|co-operate
coalescing|coalesce
coasting|coast
coexisting|coexist
cohabiting|cohabit
cohering|cohere
coinciding|coincide
collaborating|collaborate
colliding|collide
commentating|commentate
commiserating|commiserate
communing|commune
competing|compete
complying|comply
compromising|compromise
confabbing|confab
confabulating|confabulate
conflicting|conflict
conforming|conform
congealing|congeal
congregating|congregate
conniving|connive
consorting|consort
conspiring|conspire
convalescing|convalesce
converging|converge
conversing|converse
cooing|coo
cooperating|cooperate
coping|cope
copulating|copulate
corresponding|correspond
cowering|cower
crackling|crackle
crash-diving|crash-dive
creaking|creak
cresting|crest
cringing|cringe
croaking|croak
crowing|crow
crusading|crusade
culminating|culminate
curtseying|curtsey
curtsying|curtsy
cycling|cycle
dabbling|dabble
dallying|dally
dawdling|dawdle
dawning|dawn
daydreaming|daydream
decamping|decamp
decaying|decay
defaulting|default
defecating|defecate
defecting|defect
degenerating|degenerate
deliberating|deliberate
delving|delve
demurring|demur
departing|depart
depending|depend
deplaning|deplane
depreciating|depreciate
deputizing|deputize
desisting|desist
despairing|despair
deteriorating|deteriorate
detracting|detract
deviating|deviate
devolving|devolve
dieting|diet
differing|differ
digressing|digress
dilly-dallying|dilly-dally
disagreing|disagree
disappearing|disappear
discoursing|discourse
discriminating|discriminate
disembarking|disembark
disintegrating|disintegrate
disrobing|disrobe
dissembling|dissemble
dissenting|dissent
dithering|dither
diverging|diverge
doddering|dodder
domineering|domineer
doodling|doodle
doting|dote
double-parking|double-park
dovetailing|dovetail
drawling|drawl
drizzling|drizzle
drooling|drool
duelling|duel
dwelling|dwell
dwindling|dwindle
eavesdropping|eavesdrop
ebbing|ebb
economizing|economize
eddying|eddy
effervescing|effervesce
elapsing|elapse
eloping|elope
emanating|emanate
embarking|embark
emerging|emerge
emigrating|emigrate
encamping|encamp
encroaching|encroach
enquiring|enquire
ensuing|ensue
erring|err
erupting|erupt
evaporating|evaporate
excelling|excel
existing|exist
exiting|exit
expatiating|expatiate
experimenting|experiment
expiring|expire
expostulating|expostulate
exulting|exult
fainting|faint
faltering|falter
faring|fare
farting|fart
fasting|fast
fawning|fawn
feinting|feint
festering|fester
fibbing|fib
fidgeting|fidget
filibustering|filibuster
fizzing|fizz
flailing|flail
flaking|flake
flaming|flame
flickering|flicker
flinching|flinch
flirting|flirt
flitting|flit
flopping|flop
floundering|flounder
flourishing|flourish
flowering|flower
fluctuating|fluctuate
fluttering|flutter
fly-fishing|fly-fish
foraging|forage
foregathering|foregather
fornicating|fornicate
fossilizing|fossilize
foxhunting|foxhunt
fragmenting|fragment
fraternizing|fraternize
freelancing|freelance
freewheeling|freewheel
fretting|fret
frothing|froth
frowning|frown
fulminating|fulminate
fuming|fume
functioning|function
fussing|fuss
gallivanting|gallivant
galumphing|galumph
gambolling|gambol
gaping|gape
gardening|garden
gawping|gawp
gazing|gaze
gelling|gel
genuflecting|genuflect
gesticulating|gesticulate
gesturing|gesture
gibing|gibe
giggling|giggle
glaring|glare
gleaming|gleam
gliding|glide
glimmering|glimmer
glinting|glint
glistening|glisten
glittering|glitter
gloating|gloat
globetrotting|globetrot
glorying|glory
glowing|glow
glowering|glower
goggling|goggle
golfing|golf
gossiping|gossip
graduating|graduate
grappling|grapple
gravitating|gravitate
graying|gray
grazing|graze
greying|grey
grimacing|grimace
grinning|grin
grooving|groove
grouching|grouch
grousing|grouse
grovelling|grovel
guffawing|guffaw
gurgling|gurgle
gybing|gybe
gyrating|gyrate
haggling|haggle
hankering|hanker
harking|hark
harping|harp
hawing|haw
hearkening|hearken
heeling|heel
hibernating|hibernate
hiccoughing|hiccough
hiccupping|hiccup
hinging|hinge
hissing|hiss
